"Chapter","Type","Number","Springer ID","Source file","Caption","Alt Text"
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.3","fig15_3","figures/ch15/python/newton_cotes_runge.pdf","Quadrature errors for $f(x) = 1/(1 + 25x^2)$ on $[-1, 1]$. Newton--Cotes (red) diverges exponentially while Gauss--Legendre (navy) and Clenshaw--Curtis (teal) converge rapidly.","Semilog plot of absolute quadrature error against the number of points n for the Runge function one over one plus twenty-five x squared. The red Newton-Cotes curve climbs steeply upward, diverging roughly like two to the power n, while the navy Gauss-Legendre and teal Clenshaw-Curtis curves plunge rapidly toward machine precision. The contrast shows that equal degree of precision does not guarantee accuracy."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Table","Table 15.1","tbl15_1","live text table (no image file)","Newton--Cotes quadrature errors for monomials $x^k$ and Chebyshev polynomials $T_k (x)$ with $n = 30$ points. Below the exactness degree ($k lt.eq.slant 29$), both give zero. Above it, monomials appear well-integrated while Chebyshev polynomials expose the catastrophic ill-conditioning. Adapted from @TrefethenExactness2022.","Table reporting Newton-Cotes errors with thirty points for monomials x to the k and Chebyshev polynomials T sub k across degrees twenty-six to thirty-eight, showing both are exactly zero below the exactness degree but above it the monomial errors stay tiny (around ten to the power minus four to minus seven) while the Chebyshev errors explode into the hundreds and tens of thousands, exposing the rule's hidden ill-conditioning."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.4","fig15_4","figures/ch15/python/gauss_cc_construction.pdf","Validation of our Gauss--Legendre (Golub--Welsch) and Clenshaw--Curtis (FFT) implementations. The error in integrating $e^x$ on $[-1, 1]$ converges to machine precision for both methods, confirming correctness.","Semilog convergence plot of the error in integrating e to the power x on minus one to one against the number of points, validating from-scratch Gauss-Legendre (Golub-Welsch) and Clenshaw-Curtis (FFT) implementations. Both error curves descend steadily and level off at machine precision near ten to the power minus sixteen, confirming the rules were built correctly."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.5","fig15_5","figures/ch15/python/convergence_race.pdf","Convergence of Gauss (filled circles) and Clenshaw--Curtis (open circles) quadrature for six functions on $[-1, 1]$, for $n$ ranging from 1 to 32. The first function is polynomial, the next two are entire, the fourth is analytic, the fifth is $C^infinity$, and the sixth is $C^2$. For the less smooth functions, the two methods are essentially identical. Adapted from @TrefethenCC2008.","Grid of six semilog convergence panels, one per benchmark function of decreasing smoothness (a degree-twenty polynomial, two entire functions, an analytic function with nearby poles, a C-infinity function, and a C-two function), each plotting quadrature error against n from one to thirty-two for Gauss (filled circles) and Clenshaw-Curtis (open circles). For the polynomial Gauss reaches the floor at half the points, but for the analytic and less smooth functions the two marker sets fall almost on top of each other, showing the two methods are essentially indistinguishable in practice."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.6","fig15_6","figures/ch15/python/aliasing_chebyshev.pdf","Left: Clenshaw--Curtis quadrature errors $|E_n (T_k)|$ for even $k$ with $n = 30$. The errors are zero for $k lt.eq.slant 28$, small ($cal(O)(n^(-2))$) in the shaded region $30 lt.eq.slant k lt.eq.slant 60$, and of order 1 beyond. Right: for $f(x) = |x|^3$, the products $|a_k E_n (T_k)|$ show that the shaded coefficients do not dominate the total error. Adapted from @TrefethenExactness2022.","Two semilog panels for n equals thirty. Left: Clenshaw-Curtis error for the Chebyshev polynomial T sub k versus even k, sitting at zero up to k equals twenty-eight, then staying small (order n to the power minus two) across a shaded band from thirty to sixty before rising to order one beyond. Right: for the function absolute value of x cubed, the products of Chebyshev coefficient magnitude times quadrature error versus k, showing the shaded-band terms do not dominate the total error, which explains why Clenshaw-Curtis stays accurate."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.7","fig15_7","figures/ch15/python/complex_plane.pdf","Étude 15.7 (four panels in a 2$times$2 grid). _(a)_, _(b)_, _(c)_: contour plots of $|phi(z) - r_n (z)|$ in the complex plane for Newton--Cotes, Gauss--Legendre, and Clenshaw--Curtis with $n = 16$. The innermost contour is $|phi - r_n| = 1$; successive contours are $10^(-1), 10^(-2), dots$ Newton--Cotes contours are visibly squeezed near $[-1, 1]$ (the Runge weakness); Gauss and Clenshaw--Curtis are virtually identical, explaining their near-tie on functions with nearby singularities. Adapted from @TrefethenCC2008. _(d)_: empirical confirmation on a Runge-like benchmark $integral_(-1)^1 dif x / (1 + 16 x^2)$ --- Newton--Cotes diverges, Gauss--Legendre and Clenshaw--Curtis both reach machine precision geometrically by $n approx 100$.","Four-panel grid for n equals sixteen. Panels (a), (b), (c) are complex-plane contour maps of the approximation error between the exact kernel phi and the rational approximant r sub n for Newton-Cotes, Gauss-Legendre, and Clenshaw-Curtis, with the innermost contour at one and outer contours at ten to the power minus one, minus two, and so on; the Newton-Cotes contours are pinched tightly against the real interval while the Gauss and Clenshaw-Curtis contours look virtually identical. Panel (d) is a semilog convergence plot on the Runge-like integral one over one plus sixteen x squared, where Newton-Cotes diverges upward while Gauss and Clenshaw-Curtis descend geometrically together to machine precision by about a hundred points."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.8","fig15_8","figures/ch15/python/gauss_hermite_weights.pdf","Left: Gauss--Hermite quadrature weights for $n = 100$. The dashed line marks machine precision ($10^(-16)$). About half of the weights lie below this threshold. Right: fraction of weights below machine precision as a function of $n$, approaching 100% as $n arrow infinity$. Adapted from @TrefethenExactness2022.","Two panels on the Gauss-Hermite paradox. Left: scatter of the hundred quadrature weights for n equals one hundred plotted on a log scale against node position, with a horizontal dashed line at machine precision ten to the power minus sixteen; roughly half the weights fall below the line, marking them as computationally useless. Right: the fraction of weights below machine precision rising with n and tending toward one hundred percent as n grows, showing the waste worsens with order."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.9","fig15_9","figures/ch15/python/gauss_hermite_failure.pdf","Quadrature errors for $integral_(-infinity)^infinity e^(-x^2) cos(x^3) dif x$. Gauss--Hermite (navy) converges root-exponentially ($cal(O)(e^(-C sqrt(n)))$, parabola on semilog scale), while the trapezoidal rule on $[-6, 6]$ (coral) converges much faster, reaching machine precision around $n = 80$. Adapted from @TrefethenExactness2022.","Semilog plot of quadrature error against the number of points for the integral of e to the power minus x squared times cosine of x cubed over the whole real line. The navy Gauss-Hermite curve descends slowly along a parabolic root-exponential path, while the coral truncated trapezoidal rule on minus six to six drops far more steeply and reaches machine precision around eighty points, dramatically beating the formally optimal Hermite rule."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Figure","Fig. 15.10","fig15_10","figures/ch15/python/convergence_rates.pdf","Verification of the asymptotic convergence rates. Left: Gauss--Hermite error plotted against $n^(1/2)$ shows a straight line on a semilog scale, confirming $cal(O)(e^(-C n^(1/2)))$. Right: truncated Gauss--Legendre error plotted against $n^(2/3)$ shows a straight line, confirming the faster rate $cal(O)(e^(-C n^(2/3)))$ of Theorem 5.1.","Two semilog panels verifying asymptotic convergence rates by rescaling the horizontal axis. Left: Gauss-Hermite error plotted against the square root of n falls along a straight line, confirming a root-exponential rate of order e to the power minus C times square root of n. Right: truncated Gauss-Legendre error plotted against n to the two-thirds power also forms a straight line, confirming the steeper rate e to the power minus C times n to the two-thirds; dashed least-squares fit lines mark the slopes used to extract the decay constants."
"Chapter 15: Quadrature in Spectral Methods: When Exactness Misleads","Table","Table 15.2","tbl15_2","live text table (no image file)","Summary of computational études in this chapter.","Summary table listing the ten computational etudes of the chapter, giving for each its problem, key technique, and headline result, providing a one-glance map of the chapter's experiments from node visualization through experimental convergence rates."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Table","Table 16.1","tbl16_1","live text table (no image file)","Trapezoidal-rule approximations to $(2/pi) E(0.36)$, exploiting the four-fold symmetry of Poisson's integrand. Each new sample point reduces the error by a factor of approximately $3$, in agreement with the geometric rate $cal(O)(3^(-N))$ predicted by the strip-analyticity theorem of @sec-strip-analyticity.","A three-column table listing, for sample counts N over four equal to 1 through 7, the trapezoidal approximation to two over pi times the elliptic integral E of 0.36 and its absolute error; the error falls from about two point eight times ten to the minus three down to roughly five times ten to the minus sixteen, shrinking by a factor near three with each added node and reaching machine precision by eight independent samples."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.1","fig16_1","figures/ch16/python/poisson_ellipse.pdf","Geometric convergence of the periodic trapezoidal rule on Poisson's ellipse integrand. Each independent sample reduces the error by approximately $3$, until machine precision is reached at $N/4 approx 8$. The dashed line is the theoretical envelope $3^(-N)$, derived in @sec-strip-analyticity from the location of the branch points of the integrand in the complex plane.","Semilog plot of absolute trapezoidal-rule error against the number of independent samples N over four for Poisson's ellipse integrand; the data points fall along a straight descending line that matches a dashed reference envelope of three to the power minus N, dropping about half a digit per sample until machine precision near ten to the minus sixteen is reached at N over four about eight, confirming geometric convergence."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.2","fig16_2","figures/ch16/python/band_limited.pdf","(a) Trapezoidal error for a random trigonometric polynomial of degree $m = 10$. Once $N > m$, the rule is exact. (b) For fixed $N = 16$, the trapezoidal error in $integral_0^(2 pi) cos(k theta) dif theta$ as a function of $k$. The only failures are at $k = N$ and $k = 2 N$ (integer multiples of $N$). Modes $k$ with $N/2 < k < N$ are aliased on the grid but still integrate exactly to zero, because the one-point-per-wavelength condition is sufficient for quadrature even when it is not sufficient for reconstruction.","Two panels. Panel a, semilog error versus N for a random degree-ten trigonometric polynomial: the error stays of order one until N exceeds ten, then collapses to machine precision and stays there, showing exactness once N is larger than the degree. Panel b, error versus frequency k for integrating cosine of k theta with N fixed at sixteen: nearly all k give machine-zero error, with isolated spikes only at k equal to sixteen and k equal to thirty-two, the integer multiples of N, illustrating that aliased modes between N over two and N still integrate exactly to zero."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Table","Table 16.2","tbl16_2","live text table (no image file)","The five-class taxonomy of convergence rates for the periodic trapezoidal rule. Each class is defined by the decay rate of the Fourier coefficients of the integrand, and that decay rate is in turn determined by the analytic structure of $f$ in the complex plane.","A three-column table mapping five integrand classes (trigonometric polynomial, finite-smoothness C-k, strip-analytic, entire, and C-infinity but non-analytic) to their Fourier-coefficient decay and the resulting trapezoidal error rate, ranging from exact through algebraic, geometric, supergeometric, and subgeometric."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.3","fig16_3","figures/ch16/python/algebraic_decay.pdf","Algebraic convergence on the periodic functions $f_2 (x) = |sin(x/2)|$ (slope $-2$, coral) and $f_3 (x) = |sin(x/2)|^3$ (slope $-4$, navy). The dashed envelopes are Weideman's explicit asymptotic constants $pi^2 / (3 N^2)$ and $pi^4 / (30 N^4)$ from @eq-algebraic-rates. The two slopes differ by a factor of two because $f_3$ has two more matching odd derivatives across the period than $f_2$.","Log-log plot of absolute trapezoidal error versus N for two periodic functions: absolute value of sine of x over two in coral falling along slope minus two, and its cube in navy falling along slope minus four. Dashed envelopes for Weideman's constants pi squared over three N squared and pi to the fourth over thirty N to the fourth track each curve, the steeper slope reflecting the cubed function's extra matching odd derivatives across the period."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.4","fig16_4","figures/ch16/python/poisson_kernel.pdf","(a) Geometric decay of the trapezoidal error for $f_4 (x) = 1 / (2 - cos x)$. The numerical errors (coral) and Weideman's exact closed-form error @eq-poisson-kernel-exact (navy dashed) agree to machine precision. (b) The integrand has poles in the complex plane at $theta = plus.minus i log(2 + sqrt(3)) = plus.minus 1.317i$ (and their $2 pi$-translates). The shaded region is the strip of analyticity; the trapezoidal nodes (coral dots) lie on the real axis. Each new node reduces the error by a factor of $2 - sqrt(3) approx 0.27$.","Two panels. Panel a, semilog error versus N for one over the quantity two minus cosine x: coral numerical errors and a navy dashed closed-form curve coincide down to machine precision, the error shrinking by about zero point two seven per node. Panel b, a complex-plane diagram showing a horizontal shaded strip of analyticity bounded by lines at imaginary part plus and minus about one point three two, with the integrand's poles marked just outside the strip and the trapezoidal nodes shown as coral dots along the real axis, linking the geometric rate to the imaginary distance of the nearest pole."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.5","fig16_5","figures/ch16/python/supergeometric.pdf","Supergeometric decay of the trapezoidal-rule error for $f_5 (x) = e^(cos x)$. The dashed envelope is the Bessel-function asymptotic $2 sqrt(2 pi / N) (e / (2 N))^N$ derived above. The slope of the convergence curve becomes steeper with each new node, the signature of a faster-than-geometric decay; by $N = 14$ the trapezoidal sum agrees with $2 pi I_0 (1)$ to almost double-precision accuracy.","Semilog plot of absolute trapezoidal error versus N for e to the power cosine x; the data points curve downward with an ever-steepening slope rather than a straight line, tracking a dashed Bessel-function envelope of two times the square root of two pi over N times e over two N all to the power N. This steepening is the signature of supergeometric, faster-than-geometric decay, with the error reaching nearly machine precision by N equal to fourteen."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.6","fig16_6","figures/ch16/python/subgeometric.pdf","Subgeometric decay of the trapezoidal-rule error for the $C^infinity$-but-not-analytic function $f_6 (x) = exp((cos x - 1)/(cos x + 1))$. (a) Error vs $N$: the curve bends downward but never becomes a straight line, in contrast to the geometric and supergeometric examples. (b) Error vs $N^(2/3)$: the curve becomes nearly straight, confirming the predicted rate $exp(-frac(3, 2) N^(2/3))$. The visual transformation between the two panels diagnoses the analytic structure of the integrand from the convergence data alone.","Two panels showing the same subgeometric error data for the C-infinity but non-analytic function exp of cosine x minus one over cosine x plus one. Panel a plots error against N on a semilog axis: the curve bends downward but never straightens. Panel b plots the same error against N to the power two-thirds: the curve becomes nearly a straight line, confirming the rate exp of minus three-halves N to the two-thirds and demonstrating how a change of horizontal axis reveals the integrand's analytic structure."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.7","fig16_7","figures/ch16/python/real_line_gaussian.pdf","The trapezoidal rule on the real line, applied to $integral_(-infinity)^infinity e^(-x^2) / sqrt(pi) dif x = 1$. The reference dashed line is the simplest envelope $e^(-pi^2 / h)$ obtained by taking $a = pi / 2$ in the strip bound @eq-real-line-thm. The actual error decays even faster because the Gaussian is entire, allowing the optimal strip width $a$ to grow with $N$. By $N = 12$ the error is at machine precision.","Semilog plot of absolute error versus N for the real-line trapezoidal rule applied to the normalized Gaussian integral, whose true value is one; the data points descend with a steepening slope that drops below a straight dashed reference envelope e to the minus pi squared over h. The actual error falls faster than the reference because the entire Gaussian admits an unboundedly widening strip, reaching machine precision by N equal to twelve."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Figure","Fig. 16.8","fig16_8","figures/ch16/python/fft_coefficients.pdf","(a) Fourier coefficients $|hat(f)_k|$ of $1/(2 - cos x)$. The exact closed form $r^(|k|) / sqrt(3)$ (navy) and the FFT-computed values from $N = 32$ samples (coral dots) coincide on the plot. (b) The absolute error in each FFT coefficient. In the resolved band the error is at machine precision; near the Nyquist frequency $|k| = N/2$ the error grows because of aliasing tails, but it remains far below the magnitude of the coefficient itself. _Every spectral coefficient computed by the FFT in this textbook is, secretly, an instance of the periodic trapezoidal rule._","Two panels for the Fourier coefficients of one over the quantity two minus cosine x. Panel a, magnitude of each coefficient versus index k on a semilog axis: the exact closed form r to the absolute k over root three (navy) and FFT values from thirty-two samples (coral dots) overlap as a symmetric tent decaying away from k equals zero. Panel b, absolute error of each FFT coefficient versus k: near machine precision across the resolved central band and rising toward the Nyquist frequency at k equal to N over two due to aliasing, yet always far below the coefficient magnitude."
"Chapter 16: Integration of Periodic Functions: Why the Trapezoidal Rule Becomes Spectral","Table","Table 16.3","tbl16_3","live text table (no image file)","Summary of computational études in this chapter.","A four-column summary table listing the chapter's eight computational etudes with their test function, convergence class, and a one-line highlight, spanning the geometric, algebraic, supergeometric, subgeometric, and real-line regimes plus the FFT-equals-trapezoidal-rule identity."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.1","fig17_1","figures/ch17/python/catastrophe_gallery.pdf","Three deliberate blow-ups. _Left_: Fourier advection with forward Euler and $Delta t$ 20% above the stability threshold; sawtooth oscillations appear at the highest wavenumbers and grow to fill the domain. _Centre_: Chebyshev wave equation with leapfrog and $Delta t$ 50% too large; the instability is localised near the boundaries $x = plus.minus 1$. _Right_: Chebyshev heat equation with forward Euler and $Delta t$ tripled beyond the stability limit; boundary-localised oscillations grow explosively within a few steps. In each case, the instability first appears in the modes associated with the largest eigenvalues of the spatial operator.","Three side-by-side line plots of solution profiles, each showing a deliberate time-stepping blow-up. Left, Fourier advection stepped just above its stability limit, where rapid sawtooth oscillations at the highest wavenumbers have grown to fill the whole domain. Centre, the Chebyshev wave equation with leapfrog at fifty percent too large a step, where the violent oscillations are confined to the two boundaries at x equals plus and minus one. Right, the Chebyshev heat equation with forward Euler at triple the stable step, again erupting near the boundaries. The common lesson: instability first strikes the modes tied to the largest eigenvalues of the spatial operator."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.2","fig17_2","figures/ch17/python/stability_regions.pdf","Stability regions of six classical time integrators. _Top left_: Forward Euler (disk of radius 1 centred at $-1$). _Top centre_: Classical RK4 (extends $approx 2.8$ units along both the real and imaginary axes). _Top right_: Leapfrog for first-order systems (the open segment $(-2 i, 2 i)$ on the imaginary axis). _Bottom left_: Adams--Bashforth 2 (small region near the origin). _Bottom centre_: Crank--Nicolson (the entire left half-plane, shaded). _Bottom right_: Backward Euler (complement of the unit disk centred at $1$; contains the left half-plane and more). The shaded interiors are the stable regions.","A two-by-three grid plotting, in the complex z-plane with real axis horizontal and imaginary axis vertical, the stability regions of six time integrators with stable interiors shaded. Top row: forward Euler is a unit disk centred at minus one; classical RK4 reaches about two point eight units along both axes; first-order leapfrog is just the open segment of the imaginary axis between minus two i and plus two i. Bottom row: Adams-Bashforth 2 is a small region near the origin; Crank-Nicolson fills the entire left half-plane; backward Euler covers everything outside the unit disk centred at plus one, including the whole left half-plane. The contrast shows explicit methods have small bounded regions while implicit ones are unbounded."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.3","fig17_3","figures/ch17/python/spectra_overlay.pdf","Stability regions with superimposed spectral eigenvalues. _Left_: The RK4 stability region with the purely imaginary eigenvalues $Delta t dot i k$ of the Fourier first-derivative matrix for $N = 32$ and two values of $Delta t$: stable (dots inside the region) and unstable (dots outside). _Right_: The forward Euler stability region with the real negative eigenvalues $Delta t dot lambda_j$ of the Chebyshev second-derivative matrix for $N = 16$. The outlier eigenvalues near $-0.048 N^4$ force an extremely small $Delta t$ to keep all dots inside the unit disk.","Two panels overlaying scaled eigenvalues, drawn as dots, onto time-integrator stability regions in the complex plane. Left, the RK4 region with the purely imaginary eigenvalues of the Fourier first-derivative matrix for N equals thirty-two at two step sizes: one set sits inside the region (stable), the other spills outside (unstable). Right, the forward Euler unit disk with the real negative eigenvalues of the Chebyshev second-derivative matrix for N equals sixteen, where outlier eigenvalues near minus zero point zero four eight times N to the fourth lie far to the left, forcing an extremely small time step to keep every dot inside the disk."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.4","fig17_4","figures/ch17/python/fourier_cfl_scaling.pdf","_Left_: Eigenvalues of the Fourier differentiation matrix for $N = 32$, lying on the imaginary axis from $-16 i$ to $16 i$. _Right_: Critical time step $Delta t_""crit""$ versus $N$ on a log-log scale for RK4 applied to Fourier advection with $c = 1$. The slope of $-1$ confirms the $cal(O)(N^(-1))$ scaling predicted by @eq-fourier-cfl. The dashed line shows $Delta t = 2.83 / (N/2)$.","Two panels. Left, the eigenvalues of the Fourier differentiation matrix for N equals thirty-two plotted in the complex plane, all lying on the imaginary axis between minus sixteen i and plus sixteen i. Right, the critical time step versus N on log-log axes for RK4 applied to Fourier advection with unit speed; the data fall on a straight line of slope minus one, confirming order N to the minus one scaling, with a dashed reference line at two point eight three divided by N over two."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.5","fig17_5","figures/ch17/python/fourier_cfl_variable.pdf","_Left_: Variable speed profile $c(x) = 1 + 1/2 sin(x)$ with $c_max = 3/2$ marked. _Right_: Critical time step $Delta t_""crit""$ versus $N$ on a log-log scale for RK4 applied to variable-coefficient Fourier advection. The dashed line shows the frozen-coefficient prediction $Delta t = 2.83 / (c_max dot N/2)$; the dotted line shows the constant-coefficient reference $2.83 / (N/2)$. The experimental thresholds converge to the frozen-coefficient prediction for large $N$, confirming the accuracy of the heuristic for this smooth speed profile.","Two panels for variable-coefficient Fourier advection. Left, the speed profile c of x equals one plus one half sine x plotted over the domain, with its maximum value of three halves marked. Right, the critical time step versus N on log-log axes for RK4; the experimental thresholds (markers) converge from below toward a dashed frozen-coefficient prediction two point eight three over the product of c-max and N over two, lying below a dotted constant-coefficient reference line, confirming the frozen-coefficient heuristic for this smooth speed."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.6","fig17_6","figures/ch17/python/cheb_eigenvalues.pdf","Eigenvalues of the Chebyshev second-derivative matrix $tilde(D)_2$ (with Dirichlet boundary conditions) for $N = 32$. All eigenvalues are real and negative. The physical eigenvalues (approximately $2/pi$ of the total) cluster near the exact values $-n^2 pi^2 / 4$ (shown as circles). The outlier eigenvalues extend to $|lambda| approx 0.048 N^4 approx 5 times 10^4$, far beyond the physical range.","Eigenvalues of the Chebyshev second-derivative matrix with Dirichlet boundary conditions for N equals thirty-two, plotted along the real axis, all real and negative. About two over pi of them are physical modes clustering near the exact values minus n squared pi squared over four, marked with circles, while the remaining outlier eigenvalues stretch out to roughly minus zero point zero four eight times N to the fourth, near five times ten to the fourth, far beyond the physical range."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.7","fig17_7","figures/ch17/python/cheb_eigenvectors.pdf","_Left_: A physical eigenvector of $tilde(D)_2$ (mode $N/4 = 8$ for $N = 32$), oscillating smoothly across the interval and closely approximating $sin(8 pi (x+1)/2)$. _Right_: The outlier eigenvector corresponding to the largest eigenvalue, localised near the boundaries $x = plus.minus 1$ and decaying rapidly into the interior. This boundary-localised mode has no physical counterpart yet completely determines the CFL constraint for explicit time stepping.","Two panels comparing eigenvectors of the Chebyshev second-derivative matrix for N equals thirty-two. Left, a physical eigenvector (mode eight) oscillating smoothly across the interval and tracking the sine curve sine of eight pi times x plus one over two. Right, the outlier eigenvector belonging to the largest eigenvalue, sharply peaked at the boundaries x equals plus and minus one and decaying rapidly into the interior. This boundary-localised, physically meaningless mode is what dictates the explicit time-step limit."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.8","fig17_8","figures/ch17/python/cheb_cfl_scaling.pdf","Spectral radius $rho(tilde(D)_2)$ versus $N$ on a log-log scale. The slope of $4$ confirms the $cal(O)(N^4)$ scaling @eq-cheb-outlier. The dashed line shows the fit $0.048 N^4$.","Log-log plot of the spectral radius of the Chebyshev second-derivative matrix versus N. The data fall on a straight line of slope four, confirming order N to the fourth growth, with a dashed fitted line at zero point zero four eight times N to the fourth lying on top of the points."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.9","fig17_9","figures/ch17/python/pseudospectra_comparison.pdf","Pseudospectra of two operators with identical eigenvalues $-1, -2, dots, -N$ (shown as dots). _Left_: A normal (diagonal) operator; the pseudospectral contours are concentric disks around each eigenvalue. _Right_: A highly nonnormal (upper triangular) operator; the pseudospectral contours bulge far beyond the eigenvalues into the right half-plane, indicating potential for large transient growth despite all eigenvalues being stable. The contour levels are $log_(10) epsilon^(-1)$ for $epsilon = 10^(-1), 10^(-2), dots$","Two panels of pseudospectral contours in the complex plane for two operators sharing the same eigenvalues minus one through minus N, shown as dots. Left, a normal diagonal operator, where the contours are tight concentric disks hugging each eigenvalue. Right, a highly nonnormal upper-triangular operator, where the contours balloon far beyond the eigenvalues and reach into the right half-plane, signalling possible large transient growth even though every eigenvalue is stable. Contour levels are the base-ten logarithm of one over epsilon for epsilon equal to ten to the minus one, ten to the minus two, and so on."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.10","fig17_10","figures/ch17/python/fair_comparison.pdf","A fair comparison of six time-stepping strategies for the Fourier heat equation with $N = 64$ and $nu = 0.1$. _Left_: Error versus $Delta t$ on a log-log scale. Forward Euler is limited to tiny $Delta t$ by the CFL condition, while CN and IF achieve much smaller errors at larger $Delta t$. _Right_: Error versus wall-clock time, showing the efficiency trade-off. IF-RK4 and CN dominate for this problem, achieving machine-precision-level accuracy at modest cost.","Two panels comparing six time-stepping strategies for the Fourier heat equation at N equals sixty-four and viscosity zero point one. Left, error versus time step on log-log axes: forward Euler is confined to very small steps by the CFL limit, while Crank-Nicolson and the integrating-factor method reach far smaller errors at much larger steps. Right, error versus wall-clock time, exposing the efficiency trade-off, where IF-RK4 and Crank-Nicolson dominate, attaining near machine-precision accuracy at modest cost."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Table","Table 17.1","tbl17_1","live text table (no image file)","Summary of time-stepping strategies for diffusive problems. The ""stable $Delta t$"" column gives the CFL constraint for the Fourier heat equation with $N$ modes. ""Any"" means unconditionally stable (or exact). The ""Price"" column lists the main cost or compromise.","Table summarizing six time-stepping strategies for diffusive problems, listing each method's order, stable time-step (CFL) limit for the Fourier heat equation, whether it is implicit, and its main cost, showing that unconditionally stable implicit and exponential methods trade a per-step price for freedom from the explicit step restriction."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Figure","Fig. 17.11","fig17_11","figures/ch17/python/kdv_rk_comparison.pdf","KdV equation: plain RK4 versus IF-RK4. _Left_: Maximum admissible $Delta t$ as a function of $N$. Plain RK4 (circles) scales as $N^(-3)$ due to the $i k^3$ dispersion; IF-RK4 (squares) is limited only by the nonlinear term and scales much more gently. _Right_: Solution at $t = 1$ for $N = 128$; both methods agree to graphical accuracy when run within their respective CFL limits, but IF-RK4 reaches $t = 1$ in approximately 100 steps versus $approx 10^4$ for plain RK4.","Two panels comparing plain RK4 against integrating-factor RK4 for the KdV equation. Left, the maximum admissible time step versus N: plain RK4 (circles) falls off as N to the minus three because of the i k cubed dispersion, while IF-RK4 (squares) is limited only by the mild nonlinearity and declines far more gently. Right, the solution at time one for N equals one hundred twenty-eight, where both methods agree to graphical accuracy, but IF-RK4 reaches that time in about one hundred steps versus roughly ten thousand for plain RK4."
"Chapter 17: Time Stepping, Stability, and the CFL Constraint","Table","Table 17.2","tbl17_2","live text table (no image file)","Summary of computational études in this chapter.","Table summarizing the seven computational etudes of the chapter, giving each one's topic, key insight, and the relevant time-step scaling law, from the visual catastrophe gallery through Fourier order N to the minus one and Chebyshev order N to the minus four restrictions to the roughly hundredfold speedup of integrating-factor RK4 on KdV."
